ATM_CE_AND_PE,NFO Trading Symbol,Trading Symbol,Lotsize,LTP,PERCENTAGEOF_LTP,PREMIUM_COLLECTED,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,2023-12-15,Symbol
108,NESTLEIND,NESTLEIND23DECFUT,40,25723.25,0.4198536343580224,4320.0,121,332.79999999999995,506.9500000000001,717.45,1075.75,735.25,763.7,NESTLEIND23DECFUT
1,NMDC,NMDC23DECFUT,4500,201.2,0.4970178926441352,4500.0,1,7.6,9.7,8.3,10.85,11.75,12.05,NMDC23DECFUT
3,NTPC,NTPC23DECFUT,3000,305.55,0.9818360333824251,9000.0,5,6.25,9.3,10.8,10.9,12.85,13.45,NTPC23DECFUT
11,OBEROIRLTY,OBEROIRLTY23DECFUT,700,1413.8,0.778044985146414,7700.0,11,34.55,45.4,29.6,59.65,68.7,77.1,OBEROIRLTY23DECFUT
38,OFSS,OFSS23DECFUT,200,4185.45,0.9079071545473008,7600.0,44,143.75,149.05,178.1,202.3,219.35,230.4,OFSS23DECFUT
0,ONGC,ONGC23DECFUT,3850,205.5,0.0,0.0,1,4.1,6.05,7.1,8.65,8.45,8.8,ONGC23DECFUT
265,PAGEIND,PAGEIND23DECFUT,15,37825,0.7005948446794449,3975.0,327,454.75,830.1,1071.3,1200.85,1324.5,1328.85,PAGEIND23DECFUT
10,PEL,PEL23DECFUT,750,911.3,1.097333479644464,7500.0,17,31.05,115.1,98.6,53.65,59.45,57.900000000000006,PEL23DECFUT
73,PERSISTENT,PERSISTENT23DECFUT,175,7400,0.9864864864864865,12775.0,73,196.6,271.95,344.25,321.65,368.25,410.85,PERSISTENT23DECFUT
3,PETRONET,PETRONET23DECFUT,3000,216.8,1.3837638376383763,9000.0,1,4.65,5.85,6.5,8.15,9.25,8.649999999999999,PETRONET23DECFUT
5,PFC,PFC23DECFUT,3875,385.95,1.2955045990413268,19375.0,5,13.1,17.45,21.75,22.85,26.2,26.950000000000003,PFC23DECFUT
12,PIDILITIND,PIDILITIND23DECFUT,250,2700.05,0.4444362141441825,3000.0,18,53.55,66.6,84.15,94.15,97.9,102.35,PIDILITIND23DECFUT
44,PIIND,PIIND23DECFUT,250,3444.4,1.2774358378817792,11000.0,44,103.75,137.55,156.1,181.15,203.2,220.35,PIIND23DECFUT
1,PNB,PNB23DECFUT,8000,92.1,1.0857763300760044,8000.0,3,3.0,3.95,4.25,4.95,5.15,5.7,PNB23DECFUT
55,POLYCAB,POLYCAB23DECFUT,100,5433.4,1.0122575183126588,5500.0,49,207.9,172.7,183.6,218.9,246.9,247.4,POLYCAB23DECFUT
2,POWERGRID,POWERGRID23DECFUT,3600,234.05,0.8545182653279214,7200.0,2,5.25,7.15,8.25,10.3,10.4,10.65,POWERGRID23DECFUT
17,PVRINOX,PVRINOX23DECFUT,407,1667,1.0197960407918416,6919.0,17,56.25,78.4,99.15,95.9,94.35,90.55,PVRINOX23DECFUT
14,RAMCOCEM,RAMCOCEM23DECFUT,850,1017.1,1.3764624913971095,11900.0,26,27.950000000000003,35.8,40.150000000000006,46.5,48.0,52.85,RAMCOCEM23DECFUT
2,RBLBANK,RBLBANK23DECFUT,2500,263.55,0.758869284765699,5000.0,4,13.3,11.0,13.25,15.25,17.5,19.45,RBLBANK23DECFUT
4,RECLTD,RECLTD23DECFUT,2000,411.5,0.9720534629404617,8000.0,10,14.05,18.6,24.3,25.95,29.45,30.85,RECLTD23DECFUT
14,RELIANCE,RELIANCE23DECFUT,250,2587,0.5411673753382297,3500.0,14,41.55,52.85,58.35,64.85,64.65,63.7,RELIANCE23DECFUT
1,SAIL,SAIL23DECFUT,8000,115.5,0.8658008658008658,8000.0,2,5.65,7.15,4.25,0.6000000000000001,9.15,6.050000000000001,SAIL23DECFUT
10,SBICARD,SBICARD23DECFUT,800,766.15,1.3052274358807023,8000.0,10,14.55,20.05,25.85,32.7,36.1,34.5,SBICARD23DECFUT
7,SBILIFE,SBILIFE23DECFUT,750,1417.15,0.4939491232403062,5250.0,25,27.3,38.35,37.95,45.55,50.9,51.45,SBILIFE23DECFUT
